Dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1,t2,t3,t4
alzheimer-v1,0.9713184597831134,0.07599226483371313,0.4048239947056599,0.8789082777622489,0.9241226568002795,0.12291111522429622,0.20983630826805558,nan,0.06912641091702384,nan,0.804416403785489,nan,0.7097791798107256,nan,0.7908200180359114,0.2657319290783857,0.0760218142964032,nan,0.13564668769716093,nan,0.082018927444795,nan,0.9818985162555105,0.2744479495268139,0.3757827051385397,0.10383318793798603,0.11041009463722397,0.31389572710171215,0.3722397476340694,0.48416609040562747,0.501577287066246,0.028391167192429023,0.006309148264984227,0.2222222222222222
broadway2,0.5396084773004918,0.7234488315874295,0.414494140157857,0.848314606741573,0.9656064171244357,0.0302320564548885,0.33761675112292505,nan,0.0,nan,0.12359550561797752,nan,0.0,nan,0.6412576843460631,0.2970201811410734,0.1099581280993307,nan,0.1235955056179775,nan,0.1235955056179775,nan,0.8544375710137608,0.23595505617977527,0.30987341644296934,0.15774414821719415,0.14606741573033707,0.35517479044423933,0.0898876404494382,0.28764124744526687,0.2808988764044944,0.0898876404494382,0.011235955056179775,0.125
broadway3,0.5396084773004918,0.7234488315874295,0.4167330677290837,0.8419305413687437,0.8778785381543094,0.2812641348014235,0.021138103421928654,nan,0.0,nan,0.0,nan,0.0,nan,0.5424666073415253,0.2162923767753589,0.0,nan,0.0,nan,0.0,nan,0.7488953414972856,0.10112359550561797,0.2493726351005186,0.12978563598329412,0.033707865168539325,0.18149869785703643,0.0449438202247191,0.20835461246451933,0.21348314606741572,0.0898876404494382,0.011235955056179775,0.125
broadwaymult0,0.969170892136421,0.08141130877089109,0.43128674403149125,0.9004252203542564,0.972100281531802,0.04235495242292277,0.5612054477667661,nan,1.0,nan,1.0,nan,1.0,nan,0.6739537458555901,0.2888874443141904,0.31482516099008484,nan,0.22097378277153557,nan,0.20973782771535576,nan,0.9865617416431708,0.50187265917603,0.42526354729695254,0.14265420015281552,0.27715355805243447,0.4484335170216657,0.38202247191011235,0.4867944397389764,0.599250936329588,0.02247191011235955,0.003745318352059925,0.16666666666666666
broadwaymult3,0.39741041036992486,0.83050346965894,0.4449970079968085,0.8516516009123933,0.9728186004143168,0.020499428229967327,0.38380608936628335,nan,0.21380051391605204,nan,0.6666666666666666,nan,0.38202247191011235,nan,0.6701081138392422,0.2480442024801039,0.07291666666669416,nan,0.0786516853932584,nan,0.0786516853932584,nan,0.8941772222923593,0.1760299625468165,0.27542292947388736,0.17191073063460735,0.11235955056179775,0.31640136713454514,0.10112359550561797,0.3020584948164563,0.19101123595505617,0.02247191011235955,0.003745318352059925,0.16666666666666666
broadwaymult4,0.44848129436613077,0.7955701228268766,0.46032935977549483,0.8582411083889498,0.9933510060764369,0.00831924977210964,0.6838218586151505,nan,0.5499396757277794,nan,0.8876404494382022,nan,0.797752808988764,nan,0.47151133089600034,0.21063772028375527,0.08561643835617327,nan,0.09363295880149813,nan,0.09363295880149813,nan,0.9627291728036583,0.23220973782771537,0.34438837535375316,0.1637760165130598,0.15730337078651685,0.36477028731434813,0.1760299625468165,0.38156086123735755,0.2846441947565543,0.02247191011235955,0.003745318352059925,0.16666666666666666
broadwaymult5,0.39741041036992486,0.83050346965894,0.4671649093857032,0.8552279575342852,0.9908758394925122,0.010849586816373621,0.6167708325979201,nan,0.2405728685708847,nan,0.6666666666666666,nan,0.4344569288389513,nan,0.5728717376497993,0.17943854149337732,0.07291666666665553,nan,0.0786516853932584,nan,0.0786516853932584,nan,0.9493189692659456,0.20599250936329588,0.3003924239460019,0.1605302533397321,0.13108614232209737,0.33812833472971837,0.06741573033707865,0.25121147708214225,0.23220973782771537,0.02247191011235955,0.003745318352059925,0.16666666666666666
broadwaymult6,0.48424235518938236,0.768862792504965,0.4592964101088375,0.8604657711694967,0.9900100754694474,0.008211597574383037,0.6218960524404753,nan,0.5,nan,0.6666666666666666,nan,0.6666666666666666,nan,0.5513707619632205,0.2013426469506661,0.09491525423728542,nan,0.10486891385767794,nan,0.10486891385767794,nan,0.9470465289175048,0.22846441947565543,0.31086255589157885,0.15314110344982373,0.13108614232209737,0.33812833472971837,0.1198501872659176,0.3253961957962732,0.2846441947565543,0.02247191011235955,0.003745318352059925,0.16666666666666666
caesarian,0.9837082626231858,0.044009779951100336,0.45662100456621,0.8870253164556962,0.9639436365153686,0.0504784851974555,0.563675882100033,nan,0.5217391304347826,nan,0.95,nan,0.925,nan,0.7993903535214619,0.30470858058821204,0.20240043834200694,nan,0.275,nan,0.25,nan,0.97515625,0.6125,0.49311435177015,0.30178099382601115,0.5125,0.5029973450366554,0.3375,0.4758403625512567,0.55,0.0625,0.025,0.4
cleveland,0.995669657677634,0.011922738849196368,0.44676874466629524,0.8602693602693603,0.8855837001066665,0.08929207388265249,0.17850767274806129,nan,0.209468598191358,nan,0.9831649831649831,nan,0.9393939393939394,nan,0.7180885331530016,0.3167552099349325,0.11617946864104844,nan,0.1515151515151515,nan,0.08080808080808077,nan,0.9703885091090478,0.3468013468013468,0.39619977537046025,0.14120055421364125,0.21885521885521886,0.41416804745799923,0.2962962962962963,0.45739393219544267,0.4781144781144781,0.04377104377104377,0.010101010101010102,0.23076923076923078
