Dataset,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
alzheimer-v1,0.44042351218584386,0.20862630191092382,0.06912641091702384,0.804416403785489,0.7034700315457413,0.24881516587677727,0.25236593059936907,0.5741324921135647,0.22555205047318613,0.5235072736266768,0.42586750788643535,0.39747634069400634,0.694006309148265,0.9923076157589388,0.9696322325599968,0.530077370946606,0.8748014549087106,0.028391167192429023,0.006309148264984227,0.2222222222222222,0.028681540216886736,0.07599226483371313
broadway2,0.8306150774516471,0.333502435596522,0.0,0.12359550561797752,0.12359550561797752,0.10999999999999999,0.11235955056179775,0.12359550561797752,0.09550561797752809,0.7917235963521134,0.1797752808988764,0.12359550561797752,0.5730337078651685,0.944325211463199,0.9440755873340143,0.5157627640773708,0.8754869937366584,0.0898876404494382,0.011235955056179775,0.125,0.4603915226995082,0.7234488315874295
broadway3,0.10068239130066173,0.020858746433422184,0.0,0.0,0.0,0.016009127275083784,0.011235955056179775,0.0,0.05056179775280899,0.7977058097973491,0.0674157303370787,0.06741573033707865,0.42696629213483145,0.89938139123848,0.9412665985699693,0.49159654328193647,0.8742283189134135,0.0898876404494382,0.011235955056179775,0.125,0.4603915226995082,0.7234488315874295
broadwaymult0,0.7954760652288269,0.5593002493571609,1.0,1.0,1.0,0.28418230563002683,0.5617977528089888,0.3970037453183521,0.2397003745318352,0.5128255261940359,0.5355805243445693,0.31835205992509363,0.7677902621722846,0.9933229530502602,0.9652502041620906,0.4207820591307111,0.9219371507380866,0.02247191011235955,0.003745318352059925,0.16666666666666666,0.030829107863578953,0.08141130877089109
broadwaymult3,0.8974168571228315,0.3822964986850488,0.21380051391605204,0.6666666666666666,0.38202247191011235,0.07291666666666667,0.07865168539325842,0.8164794007490637,0.04307116104868914,0.8545052147980113,0.07490636704119846,0.0898876404494382,0.21722846441947566,0.9418563873809424,0.950437892484019,0.4952689728911136,0.883077763963526,0.02247191011235955,0.003745318352059925,0.16666666666666666,0.6025895896300753,0.83050346965894
broadwaymult4,0.9642676579978173,0.6824774679968729,0.5499396757277794,0.8876404494382022,0.797752808988764,0.08561643835616439,0.09363295880149813,0.09363295880149813,0.10299625468164794,0.828410001202794,0.2134831460674157,0.09363295880149813,0.4044943820224719,0.9705424399276186,0.9536200050688519,0.5127137286067303,0.8925208742387989,0.02247191011235955,0.003745318352059925,0.16666666666666666,0.5515187056338693,0.7955701228268766
broadwaymult5,0.9436032731363552,0.6152721562324615,0.2405728685708847,0.6666666666666666,0.4344569288389513,0.07291666666666667,0.07865168539325842,0.07865168539325842,0.10674157303370786,0.8676094513638313,0.2247191011235955,0.07865168539325842,0.4157303370786517,0.9670496149476077,0.95274703612965,0.4565112263544493,0.8906013726427577,0.02247191011235955,0.003745318352059925,0.16666666666666666,0.6025895896300753,0.83050346965894
broadwaymult6,0.9560919582863032,0.6203994224278792,0.5,0.6666666666666666,0.6666666666666666,0.09491525423728814,0.10486891385767791,0.10486891385767791,0.11797752808988764,0.7994987353787222,0.29588014981273403,0.10486891385767791,0.5205992509363296,0.9759289651979969,0.9545492945847766,0.45793085808087,0.8748942069041592,0.02247191011235955,0.003745318352059925,0.16666666666666666,0.5157576448106177,0.768862792504965
caesarian,0.7788898999090084,0.5575798695405427,0.5217391304347826,0.95,0.925,0.2982456140350877,0.375,0.575,0.2125,0.5138052382056854,0.5125,0.2875,0.9,0.98125,0.9449367088607595,0.5683060689310688,0.8344256609961577,0.0625,0.025,0.4,0.01629173737681433,0.044009779951100336
cleveland,0.5736416416186346,0.17749614316267603,0.209468598191358,0.9831649831649831,0.9393939393939394,0.19375240516264777,0.5387205387205387,0.13468013468013468,0.21212121212121213,0.4892657087720151,0.42087542087542085,0.2727272727272727,0.7811447811447811,0.9903637950775998,0.9720857220857221,0.5870400044120018,0.8766847106787532,0.04377104377104377,0.010101010101010102,0.23076923076923078,0.004330342322366065,0.011922738849196368
creditscore,0.7126330935845737,0.26906681005324745,0.0,0.28,0.01,0.013400259977186272,0.01,0.0,0.01,0.5949783736036208,0.010000000000000009,0.0,0.06,0.6196999999999999,0.7941414141414141,0.2388078066118724,0.6127248110716407,0.06,0.01,0.16666666666666666,0.15853536379182442,0.349290194783757
cryotherapy,0.4006504896834273,0.12596613750531918,0.06689688156803553,0.7333333333333333,0.05555555555555555,0.1422000435845229,0.15555555555555556,0.17777777777777778,0.1,0.46884238983577414,0.06666666666666665,0.2777777777777778,0.35555555555555557,0.9433333333333334,0.9423220973782771,0.4175165575165575,0.8564755308643615,0.06666666666666667,0.011111111111111112,0.16666666666666666,0.003208368018363328,0.008849557522123908
cyyoung,0.5771322823211044,0.2392293166024777,0.11761357633712295,0.8359788359788359,0.5079365079365079,0.2548923207340337,0.3544973544973545,0.17989417989417988,0.1349206349206349,0.567616675961647,0.24338624338624337,0.21693121693121692,0.43915343915343913,0.9645866577083508,0.8521895755938309,0.09444418565387946,0.796890784858111,0.042328042328042326,0.010582010582010581,0.25,0.22634895169783054,0.45797539391323117
dmft-all,0.9616149927842008,0.8626088070638537,1.0,1.0,1.0,0.13744588744588745,0.15934755332496864,0.15934755332496864,0.13111668757841907,0.7317849622144648,0.2823086574654956,0.1668757841907152,0.6511919698870765,0.9970198784966837,0.922706380081083,0.3119284949401796,0.842221018167755,0.005018820577164366,0.0037641154328732747,0.75,0.36725359215922115,0.6340443284182278
dmft-diet,0.988001666321007,0.9277628556236845,1.0,1.0,1.0,0.14208826695371368,0.1656210790464241,0.1656210790464241,0.12170639899623588,0.7200903702072321,0.22584692597239653,0.17440401505646172,0.6775407779171895,0.9971332270166198,0.9232013265827255,0.31149011841178353,0.8436262508974225,0.005018820577164366,0.0037641154328732747,0.75,0.3524110451860688,0.6180563865036147
dmft-health,0.9815080351715181,0.9003719758258544,1.0,1.0,1.0,0.13463626492942454,0.15558343789209536,0.15558343789209536,0.1191969887076537,0.7389899886315631,0.3889585947302384,0.17691342534504392,0.6938519447929736,0.9974748468614267,0.9206225607334035,0.30845849652463164,0.8317278704059103,0.005018820577164366,0.0037641154328732747,0.75,0.37636174718984927,0.6435997907346709
dmft-mouth,0.9914241088709381,0.9431121404445912,1.0,1.0,1.0,0.16281512605042017,0.1944792973651192,0.1944792973651192,0.16122961104140526,0.6835263881753788,0.2572145545796738,0.2107904642409034,0.7503136762860728,0.9980966894360753,0.9271325258664717,0.3102964450576423,0.8515151845314934,0.005018820577164366,0.0037641154328732747,0.75,0.28925168142988633,0.5437298969024895
Edu-Data-HvsL,0.11709501124633871,0.03123486256122204,0.3314638265972646,0.6579925650557621,0.26394052044609667,0.20414201183431951,0.03345724907063197,0.011152416356877323,0.040892193308550186,0.34766841400346565,0.08178438661710041,0.03717472118959108,0.21561338289962825,0.9021296001990022,0.9804971425400877,0.6872637702078466,0.9094845441147864,0.05947955390334572,0.01486988847583643,0.25,0.0022441288550111294,0.006199542611523001
Edu-Data-HvsM,0.742854989216704,0.29938222412143456,0.6735726527033387,0.9801699716713881,0.9518413597733711,0.20184646992257413,0.35410764872521244,0.39943342776203966,0.15722379603399433,0.49967777593653867,0.34560906515580736,0.26628895184135976,0.6968838526912181,0.9887889317786035,0.9911795003862992,0.7600284669689769,0.9557416732483617,0.0453257790368272,0.0113314447592068,0.25,0.027739138872958424,0.07360284455437893
Edu-Data-MvsL,0.4295249029924224,0.1394827127947803,0.49425414772937226,0.878698224852071,0.7751479289940828,0.13450340223657734,0.3136094674556213,0.3520710059171598,0.10946745562130178,0.46709432428115855,0.20118343195266275,0.13609467455621302,0.5177514792899408,0.9688298729036098,0.9896230224922304,0.7449604593292651,0.9398266449563092,0.047337278106508875,0.011834319526627219,0.25,0.04502258749675381,0.1163396537510305
fertility-diagnosis,0.9589491951409251,0.46054872839858535,0.3838297872340426,0.98,0.95,0.15869690777728027,0.12,0.12,0.065,0.779506089393943,0.12,0.09,0.44,0.9207,0.9751515151515151,0.7076363636363636,0.8941833871708922,0.09,0.06,0.6666666666666666,0.47063913471263563,0.7322515212981744
forest-fires,0.991133441615339,0.8492545793330669,0.0,0.9690522243713733,0.8858800773694391,0.20386966251605784,0.1470019342359768,0.1528046421663443,0.13152804642166344,0.7546685942333522,0.25725338491295935,0.15667311411992263,0.47195357833655704,0.9892999711922301,0.9877273476976595,0.6779675496814246,0.9263157755309913,0.02321083172147002,0.0019342359767891683,0.08333333333333333,0.3977134908312532,0.665270127885667
gss-vw,0.8851994654739347,0.7278371769984494,0.10606060606060606,0.815,0.815,0.24549246709821335,0.25,0.2525,0.14625,0.6880710197296966,0.36750000000000005,0.21,0.645,0.9723,0.9532080200501253,0.3676247732644927,0.8911947758935563,0.0125,0.0025,0.2,0.18872187554086728,0.4
heart-statlog,0.5688594915576592,0.1706538202096236,0.19590588320055055,0.9851851851851852,0.937037037037037,0.25463236321577154,0.3296296296296296,0.11481481481481481,0.17222222222222222,0.4893011401549895,0.3555555555555555,0.24444444444444444,0.762962962962963,0.9877229080932785,0.9779154619303319,0.6255461676559926,0.9047467777435677,0.04814814814814815,0.011111111111111112,0.23076923076923078,0.008923940161777777,0.024390243902438935
hepatitis,0.6264874958807808,0.09827849434761758,0.0,0.6625,0.0,0.4851202686826771,0.1,0.1,0.0875,0.7203422983556271,0.1875,0.15,0.3875,0.9143749999999999,0.960126582278481,0.8165578171828172,0.8186495105309864,0.2375,0.0375,0.15789473684210525,0.35974305631894954,0.6260197509660799
icu,0.6791979949874687,0.24169061299942138,0.5201238390092879,0.95,0.875,0.1596638655462185,0.145,0.185,0.15,0.6584079341099432,0.29500000000000004,0.205,0.565,0.972575,0.9345226130653266,0.588887922195984,0.7836656351141156,0.095,0.015,0.15789473684210525,0.2780719051126377,0.5294117647058824
immunotherapy,0.7692142476346499,0.47260121774825353,0.16550381964717606,0.8,0.4444444444444444,0.1743119266055046,0.25555555555555554,0.17777777777777778,0.18888888888888888,0.6948371121788544,0.4111111111111111,0.2111111111111111,0.6222222222222222,0.9591358024691358,0.954307116104869,0.5619831711498378,0.8600974103221508,0.07777777777777778,0.011111111111111112,0.14285714285714285,0.25639877300655356,0.5005553498704183
irish,0.6976186504562293,0.2657962141790603,0.24382066276803116,0.5491452991452992,0.5491452991452992,0.20851270598256236,0.5405982905982906,0.2670940170940171,0.07158119658119658,0.46448422033892456,0.11965811965811968,0.14316239316239315,0.3952991452991453,0.9838191248447659,0.9255476857189919,0.21387755712312995,0.8625005835961725,0.010683760683760684,0.004273504273504274,0.4,0.006980233322669616,0.01913719815501491
kidney,0.0769272771948345,0.007934591430443805,0.0,0.3924050632911392,0.0,0.09714285714285716,0.02531645569620253,0.10126582278481013,0.08227848101265822,0.4631191954601191,0.14556962025316456,0.189873417721519,0.41139240506329117,0.9616247396250601,0.4714182052729179,0.2721518987341772,0.27215189873417744,0.1518987341772152,0.006329113924050633,0.041666666666666664,0.15546444366336132,0.34390340984476586
lymphography-normal-fibrosis,0.3079226282066003,0.019812160639880783,0.0028344671201814054,0.32432432432432434,0.0,0.0,0.0,0.0,0.016891891891891893,0.9004411106940672,0.027027027027026973,0.02702702702702703,0.18243243243243243,0.4774926953981008,0.9616657473800331,0.6900584488819783,0.8595583473988584,0.12162162162162163,0.07432432432432433,0.6111111111111112,0.7552349179791028,0.9156435643564357
lymphography-v1,0.5877600160582771,0.1509164809632485,0.24489795918367344,0.9507042253521126,0.8873239436619719,0.10767800906361037,0.1056338028169014,0.04929577464788732,0.11971830985915492,0.47046330877340414,0.2535211267605634,0.11267605633802817,0.8943661971830986,0.9702439992065066,0.9765258215962441,0.726226473057459,0.9088226628198848,0.1267605633802817,0.07746478873239436,0.6111111111111112,0.014357301798069044,0.038902937171756524
